index,name,category,phone,email,hasWebsite,website,sellsOnline,stars,reviewCount,publishesFishingReport,socialMedia
62,Sunrise Fly Shop / Lodging,Fishing store,+14068353474,info@sunriseflyshop.com,true,http://www.sunriseflyshop.com/,true,4.7,49,true,Instagram
63,Galloup's North Slide,Fishing store,+14066827020,slideinn@slideinn.com,true,http://www.slideinn.com/,true,5,11,true,"Facebook,Instagram,YouTube"
64,Snake River Angler and Scenic Float Trips,Fishing store,+13077333699,fish@snakeriverangler.com,true,http://www.snakeriverangler.com/,true,4.5,83,true,"Facebook,Instagram"
65,"Simms | The River's Edge West",Fishing store,+14062842401,info@theriversedge.com,true,https://www.theriversedge.com/,true,4.4,44,true,"Facebook,Instagram"
66,Wind River Canyon Whitewater & Fly Fishing,Raft trip outfitter,+13078649343,trips@windrivercanyon.com,true,http://www.windrivercanyon.com/,true,4.6,202,false,"Facebook,Instagram"
67,Skwala Fishing,Outdoor clothing and equipment shop,+18335231500,customerservice@skwalafishing.com,true,http://www.skwalafishing.com/,true,4.7,14,false,"Facebook,Instagram,YouTube"
68,Bighorn Trout Shop & Lodge,Fishing camp,+14066662375,NO_EMAIL_FOUND,true,http://www.bighorntroutshop.com/,true,4.8,52,false,
69,Montana Troutwranglers,Fishing store,+14065806050,NO_EMAIL_FOUND,true,http://www.troutwranglers.com/,false,5,23,false,"Facebook,Instagram,YouTube"
70,Dan Bailey's Outdoor Co,Outdoor sports store,+14062221673,ERROR_CHECKING_EMAIL,true,https://danbaileys.com/,true,4.6,166,true,"Facebook,Instagram"
71,Jackson Cardinal Flies,Sporting goods store,+18006390913,NO_EMAIL_FOUND,true,http://www.jacksoncardinal.com/,false,5,3,false,
72,South Fork Lodge Fly Shop,Fishing store,+12084832112,ecom-swiper@11.css,true,https://shop.southforklodge.com/,true,4.4,7,false,"Facebook,Instagram"
73,Orvis,Clothing store,+13077335407,NO_EMAIL_FOUND,true,https://stores.orvis.com/us/wyoming/jackson,true,4.3,98,false,"Facebook,Instagram,X (Twitter),YouTube"
74,Jackson Hole Fly Fishing School,Fishing charter,+13076993440,info@jhflyfishingschool.com,true,http://www.jhflyfishingschool.com/,true,5,38,false,"Facebook,Instagram,YouTube"
75,Blue Ribbon Nets,Clothing store,+14065866387,info@blueribbonnets.net,true,https://blueribbonnets.net/,true,5,6,false,
76,The StoneFly,Fishing store,+14064940707,ERROR_CHECKING_EMAIL,true,https://www.thestonefly.com/,true,4.9,84,true,"Facebook,Instagram,X (Twitter),YouTube"
77,Owl Creek Flies,Fishing charter,+13079210475,307-921-0475bighorndrifters@gmail.com,true,http://bighornriverfishingreport.blogspot.com/,false,4.2,9,false,
78,Sweetcast Angler,Fishing store,+14069324469,sweetcastadam@gmail.com,true,http://www.sweetcastangler.com/,true,4.7,45,true,
79,East Rosebud Fly & Tackle - Billings Montana,Fishing store,+14068399397,Info@eastrosebudflyandtackle.com,true,http://eastrosebudflyandtackle.com/,true,4.9,155,false,
80,Four Rivers Fishing Co,Fishing charter,+14066845651,4r@4riversmontana.com,true,https://4riversmontana.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=8635569509063264506,true,4.9,30,true,"Facebook,Instagram"
81,Complete Fly Fisher,NO_CATEGORY_FOUND,+14068323175,Sarah@cffmontana.com,true,https://completeflyfisher.com/,false,5,20,false,"Facebook,Instagram"
82,"Montana Guided Fly Fishing, LLC.",Fishing charter,+14065793871,NO_EMAIL_FOUND,true,http://www.montanaguidedflyfishing.com/,false,5,62,false,"Facebook,Instagram"
83,Bozeman Fishing Outfitters,Fishing charter,+14064394545,bfomontana@gmail.com,true,https://bozemanflyfishing.com/,false,5,5,true,Instagram
84,The Fly Rod Company LLC,Fishing store,+12085287997,john@theflyrodcompany.com,true,http://www.theflyrodcompany.com/,true,5,6,false,
85,FishTales Outfitting LLC,Fishing charter,+14064512074,info@mtfishtales.com,true,http://www.mtfishtales.com/,false,5,20,false,"Facebook,Instagram,LinkedIn,X (Twitter),YouTube"
86,Fins and Feathers,Fishing store,+14065862188,NO_WEBSITE,false,NO_WEBSITE,NO_WEBSITE,5,2,NO_WEBSITE,NO_WEBSITE
87,Frontier Anglers Fly Shop,Fishing store,+14066835276,info@frontieranglers.com,true,http://www.frontieranglers.com/,true,4.7,51,true,"Facebook,Instagram"
88,Anglers All,Fishing store,+13037941104,ERROR_CHECKING_EMAIL,true,https://www.anglersall.com/,true,4.9,270,false,"Facebook,Instagram,YouTube"
89,Dave McKee Fly Fishing,Fishing charter,+14065798116,dave@davemckeeflyfishing.com,true,http://davemckeeflyfishing.com/,true,5,2,false,
90,Christy Sports Big Sky Town Center,Ski rental service,+14069952939,help@christysports.com?  subject=Customer Service Inquiry,true,https://www.christysports.com/store-locations/big-sky-town-center.html,true,4.6,321,false,"Facebook,Instagram,X (Twitter),YouTube"
91,Fly Fish Food Jimmy's,Fishing store,+12085247160,ERROR_CHECKING_EMAIL,true,http://www.flyfishfood.com/,true,4.7,136,true,"Facebook,Instagram,X (Twitter),YouTube"
92,Anderson & Platt Outfitters,Fishing store,+14066832692,aandpoutfitters@gmail.com,true,https://anderson-platt-flyfishing.com/,true,4.8,95,false,"Facebook,Instagram"
93,Greys River Sports,Outdoor sports store,+13076543474,NO_EMAIL_FOUND,true,http://www.greysriversports.com/,false,4.6,58,false,X (Twitter)
94,The Lodge At Palisades Creek,NO_CATEGORY_FOUND,+12084832222,PAGE_LOAD_FAILED,true,http://www.tlapc.com/,PAGE_LOAD_FAILED,4.8,68,PAGE_LOAD_FAILED,PAGE_LOAD_FAILED
95,KINGFISHER LLP,NO_CATEGORY_FOUND,NO_PHONE_NUMBER_FOUND,NO_WEBSITE,false,NO_WEBSITE,NO_WEBSITE,NO_STARS_FOUND,NO_REVIEWS_FOUND,NO_WEBSITE,NO_WEBSITE
96,Sunlight Sports,Outdoor sports store,+13075879517,info@sunlightsports.com,true,https://sunlightsports.com/,true,4.8,212,false,Instagram
97,Tom Morgan Rodsmiths,Fishing store,+13034754836,303-475-4836info@morganrods.com,true,http://www.tommorganrodsmiths.com/,true,4.6,9,false,"Facebook,Instagram"
98,Sportsman's Warehouse,Outdoor sports store,+14065860100,mailto:203-storemanager@sportsmans.com?subject=Store Inquiry,true,https://stores.sportsmans.com/sportsmans-warehouse/us/mt/bozeman/2214-tschache-lane?utm_source=google&utm_medium=organic&utm_campaign=GMB&y_source=1_OTg4MDE3My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,true,4.1,912,true,"Facebook,Instagram,X (Twitter),YouTube"
99,Flatline Outfitters,Fishing store,+14066845638,kingsflatline@yahoo.com,true,http://www.flatlineoutfitters.com/,true,5,3,false,
100,Snake River Bait Co,Bait shop,+12085291845,NO_WEBSITE,false,NO_WEBSITE,NO_WEBSITE,4.9,16,NO_WEBSITE,NO_WEBSITE
101,"Al Anderson, Fly Fishing Outfitter #173",Fishing charter,NO_PHONE_NUMBER_FOUND,NO_WEBSITE,false,NO_WEBSITE,NO_WEBSITE,5,5,NO_WEBSITE,NO_WEBSITE
102,Fins and Feathers Guide Service,Fishing charter,+14064685019,info@flyfishingbozeman.com,true,https://flyfishingbozeman.com/,false,5,39,true,"Facebook,Instagram"
103,Crayster,Fishing store,+12085573468,NO_EMAIL_FOUND,true,http://www.procrayster.com/,true,4.9,72,false,"Facebook,Instagram,YouTube"
104,Bighorn Fly & Tackle Shop,NO_CATEGORY_FOUND,+18886651321,BLOCKED_OR_FORBIDDEN (HTTP 403),true,https://bighornfly.com/,BLOCKED_OR_FORBIDDEN (HTTP 403),4.8,22,BLOCKED_OR_FORBIDDEN (HTTP 403),BLOCKED_OR_FORBIDDEN (HTTP 403)
105,"Fly Fishing Montana,Montana Trout Guides, Fly Fishing, Bozeman, Montana",Fishing charter,+14065703516,mttroutg@aol.com,true,https://www.montanatroutguides.com/contact-us,false,5,5,false,
106,Rich's Tackle,Bait shop,+14062854540,NO_WEBSITE,false,NO_WEBSITE,NO_WEBSITE,5,19,NO_WEBSITE,NO_WEBSITE
107,Backcountry Angler,NO_CATEGORY_FOUND,+14066833462,backcountry@backcountryangler.com,true,http://www.backcountryangler.com/,true,4.8,32,false,"Facebook,Instagram"
108,Bozeman Flyworks,Fishing store,+14062198692,ERROR_CHECKING_EMAIL,true,https://bozemanflyworks.com/,true,3,2,false,"Facebook,Instagram"
109,The Avid Angler,Fishing store,+12063624030,BLOCKED_OR_FORBIDDEN (HTTP 403),true,https://www.avidangler.com/,BLOCKED_OR_FORBIDDEN (HTTP 403),4.8,92,BLOCKED_OR_FORBIDDEN (HTTP 403),BLOCKED_OR_FORBIDDEN (HTTP 403)
110,Troutana Outfitters,Fishing store,+14062239641,NO_WEBSITE,false,NO_WEBSITE,NO_WEBSITE,4.8,4,NO_WEBSITE,NO_WEBSITE
111,"Wyoming Adventures, Bighorn Fly Fishing",Fishing charter,+13072726792,anglingadv@gmail.com,true,http://www.flyfishbighorn.com/,false,5,43,false,
112,East Rosebud Fly & Tackle,Fishing store,+14064453032,Info@eastrosebudflyandtackle.com,true,http://eastrosebudflyandtackle.com/,true,4.8,12,false,
113,Doctor Slick Instruments,Fishing store,+14063888109,NO_WEBSITE,false,NO_WEBSITE,NO_WEBSITE,5,10,NO_WEBSITE,NO_WEBSITE
114,Smith & Chandler,Gift shop,+14066467841,info@ventureswestinc.com,true,https://ventureswestinc.com/retail/,true,4.6,65,false,Facebook
115,Big Sky Rod Box,Outdoor clothing and equipment shop,+14065855355,user@domain.com,true,http://www.flyrodbox.com/,true,5,4,false,"Facebook,Instagram,Vimeo,X (Twitter),YouTube"
116,American Fly Fishing Trade Association,Non-profit organization,+14066307069,info@affta.org,true,https://www.affta.org/,false,5,5,false,"Facebook,Instagram,LinkedIn,YouTube"
117,Snake River Fly,Fishing store,+12089043900,208-904-3900snakeriverfly@gmail.comsnakeriverfly.comClosed,true,http://snakeriverfly.com/,true,4.9,109,true,"Facebook,Instagram,YouTube"
118,Stonefly Inn & Flyshop,NO_CATEGORY_FOUND,+14066845648,holly@stoneflyoutfitters.com,true,http://www.stoneflyoutfitters.com/,true,5,31,false,"Facebook,Instagram,X (Twitter)"
119,Thermopolis Fly Shop Big Horn River Guide Service Wyoming,Fishing store,+13078643499,thermopolisflyshop@gmail.com?subject=Question,true,http://www.thermopolisflyshop.com/,true,4.5,11,false,"Facebook,Instagram"
120,Bighorn Angler,Fishing store,+18669793231,info@bighornangler.com,true,https://bighornangler.com/,true,4.8,91,true,"Facebook,Instagram,YouTube"
