Index,Name,Category,Phone,Email,Has Website,Website,Sells Online,Stars,Review Count,Publishes Fishing Report,Social Media Platforms
18,Trout Stalkers - Outfitter and Fly Shop,Fishing store,NO_PHONE_NUMBER_FOUND,flyshop@montanatrout.com,true,http://www.montanatrout.com/,true,4.7,78,true,"Facebook,Instagram,X (Twitter),YouTube"
19,Grand Teton Fly Fishing,Fishing charter,+13076900910,info@grandtetonflyfishing.com,true,https://grandtetonflyfishing.com/,false,4.5,51,false,"Facebook,Instagram,X (Twitter),YouTube"
20,"II Fly, LLC",Bait shop,+18889830013,ERROR_CHECKING_EMAIL,true,http://henrysforkanglers.com/,true,4.5,2,true,"Facebook,Instagram"
21,Sweetwater Fly Shop,Fishing store,+14062229393,customerservice@sweetwaterflyshop.com,true,http://www.sweetwaterflyshop.com/,true,4.8,66,true,"Facebook,Instagram,X (Twitter),YouTube"
22,Madison River Fishing Company,Fishing store,+14066824293,flyshop@mrfc.com,true,http://www.mrfc.com/,true,4.8,117,true,"Facebook,Instagram,TikTok,YouTube"
23,Bozeman Fly Supply,Fishing store,+14064041662,info@bozemanflysupply.com,true,http://bozemanflysupply.com/,true,4.9,116,true,"Facebook,Instagram"
24,Drift Lodge & Fly Shop,NO_CATEGORY_FOUND,+12085580152,driftlodge@gmail.com,true,http://www.driftlodge.com/,true,4,207,false,
25,Hatch Finders Fly Shop,Fishing store,+14062220989,flyshop@hatchfinders.com,true,http://www.hatchfinders.com/,true,5,31,true,"Facebook,Instagram,YouTube"
26,Teton Fly Fishing,Fishing charter,+13074131215,nate@tetonflyfishing.com,true,http://www.tetonflyfishing.com/,false,5,19,false,"Facebook,Instagram,YouTube"
27,Wyoming Trout Guides Fly Shop,Fishing store,+13075788217,PAGE_LOAD_FAILED,true,http://www.wyomingtroutguides.com/,PAGE_LOAD_FAILED,5,60,PAGE_LOAD_FAILED,PAGE_LOAD_FAILED
28,House of Harrop,Fishing store,+12086243537,hoh@ida.net,true,http://www.houseofharrop.com/,false,3.5,2,false,"Facebook,Instagram,X (Twitter),YouTube"
29,Galloup's Slide Inn,NO_CATEGORY_FOUND,+14066824804,slideinn@slideinn.com,true,http://www.slideinn.com/,true,4.9,170,true,"Facebook,Instagram,YouTube"
30,The Hatch fly shop,Fishing store,+18142432050,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,true,http://www.gradientmountainsports.net/,true,5,4,false,"Facebook,Instagram"
31,Spring Creek Specialists-Flies,Fishing store,+14062225664,basini@mcn.net,true,http://www.springcreekspecialists.com/,true,4.8,13,false,
32,The Tackle Shop - Outfitter and Fly Shop,Fishing store,+14066824263,info@thetackleshop.com,true,https://www.thetackleshop.com/?UTM_source=GMB_listing&UTM_medium=organic,true,4.8,114,true,"Facebook,Instagram,X (Twitter)"
33,Back Cast Fly Co.,Fishing store,+12086561211,NO_WEBSITE,false,NO_WEBSITE,NO_WEBSITE,5,40,NO_WEBSITE,NO_WEBSITE
34,WorldCast Anglers,Fishing store,+12087870082,GoFish@WorldCastAnglers.com,true,http://www.worldcastanglers.com/,true,4.8,154,true,"Facebook,Instagram,X (Twitter),YouTube"
35,North Fork Anglers,Fishing store,+13075277274,northforkanglerscody@gmail.com,true,https://northforkanglers.com/,true,4.7,64,true,Instagram
36,Simms | The River's Edge Fly Shop,Fishing store,+14065865373,info@theriversedge.com,true,https://www.theriversedge.com/,true,4.8,87,true,"Facebook,Instagram"
37,Fins and Feathers,Fishing store,+14065862188,NO_WEBSITE,false,NO_WEBSITE,NO_WEBSITE,5,2,NO_WEBSITE,NO_WEBSITE
38,Gallatin River Guides,Fishing charter,+14069952290,info@gallatinriverguides.com,true,https://www.montanaflyfishing.com/,false,4.9,326,true,"Facebook,Instagram,TikTok,YouTube"
39,Yellow Dog Flyfishing - Fly Shop,Fishing store,+14065858667,info@yellowdogflyfishing.com,true,https://www.yellowdogflyfishing.com/yellow-dog-fly-shop/,true,4.7,138,true,"Facebook,Instagram,YouTube"
40,Sweetcast Angler,Fishing store,+14069324469,sweetcastadam@gmail.com,true,http://www.sweetcastangler.com/,true,4.7,45,true,
41,Montana Troutfitters,Fishing store,+14065874707,NO_EMAIL_FOUND,true,http://www.troutfitters.com/,true,4.7,135,true,"Facebook,Instagram,YouTube"
42,Westbank Anglers,Fishing store,+13077336483,ERROR_CHECKING_EMAIL,true,http://www.westbankanglers.com/,true,4.7,82,true,"Facebook,Instagram,YouTube"
43,Montana Troutwranglers,Fishing store,+14065806050,NO_EMAIL_FOUND,true,http://www.troutwranglers.com/,false,5,19,false,"Facebook,Instagram,YouTube"
44,Absarokee Fly Shop,Fishing store,+14063284966,NO_EMAIL_FOUND,true,https://www.absarokeeflyshop.com/,false,5,8,false,
45,Simms | The River's Edge West,Fishing store,+14062842401,info@theriversedge.com,true,https://www.theriversedge.com/,true,4.4,44,true,"Facebook,Instagram"
46,Sunrise Fly Shop / Lodging,Fishing store,+14068353474,info@sunriseflyshop.com,true,http://www.sunriseflyshop.com/,true,4.7,49,true,Instagram
47,Elk Inc.,Sporting goods store,NO_PHONE_NUMBER_FOUND,NO_EMAIL_FOUND,true,https://elkinc.com/,true,4.2,20,false,
48,The Lodge At Palisades Creek Fly Shop,Fishing store,+12084832727,ERROR_CHECKING_EMAIL,true,https://www.tlapcflyshop.com/,true,4.3,13,true,Instagram
49,Nelson's Guides & Flies LLC,Fishing store,+14065799982,Jacquie@NelsonsGuidesAndFlies.com,true,http://nelsonsguidesandflies.com/,true,5,4,false,"Facebook,Instagram"
50,Galloup's North Slide,Fishing store,+14066827020,slideinn@slideinn.com,true,http://www.slideinn.com/,true,5,11,true,"Facebook,Instagram,YouTube"
51,Wind River Flyfitter,Fishing charter,+13072065808,gofish@windriverflyfitter.com,true,http://www.windriverflyfitter.com/,true,5,126,false,"Facebook,Instagram,X (Twitter)"
52,George Anderson's Yellowstone Angler,Fishing store,+14062227130,406-222-7130staff@yellowstoneangler.comDirections,true,http://www.yellowstoneangler.com/,true,4.8,53,true,"Facebook,Instagram,YouTube"
53,Complete Fly Fisher,NO_CATEGORY_FOUND,+14068323175,Sarah@cffmontana.com,true,https://completeflyfisher.com/,false,5,20,false,"Facebook,Instagram"
54,Dead Drift Fly Fishing,Outdoor clothing and equipment shop,+14062193413,grant@deaddriftfly.com,true,https://www.deaddriftfly.com/,true,4,4,false,"Facebook,Instagram,YouTube"
55,South Fork Lodge Fly Shop,Fishing store,+12084832112,ecom-swiper@11.css,true,https://shop.southforklodge.com/,true,4.4,7,false,"Facebook,Instagram"
56,Orvis,Clothing store,+13077335407,NO_EMAIL_FOUND,true,https://stores.orvis.com/us/wyoming/jackson,true,4.3,98,false,"Facebook,Instagram,X (Twitter),YouTube"
57,Tom Morgan Rodsmiths,Fishing store,+13034754836,303-475-4836info@morganrods.com,true,http://www.tommorganrodsmiths.com/,true,4.6,9,false,"Facebook,Instagram"
58,Grand Fishing Adventures,Fishing charter,+13077349684,ERROR_CHECKING_EMAIL,true,https://www.grandfishing.com/,true,4.7,12,false,"Facebook,Instagram"
59,Dan Bailey's Outdoor Co,Outdoor sports store,+14062221673,ERROR_CHECKING_EMAIL,true,https://danbaileys.com/,true,4.6,166,true,"Facebook,Instagram"
60,FishWater Outfitters,Fishing charter,+14065314219,PAGE_LOAD_FAILED,true,http://www.fishwateroutfitters.com/ennis-fly-fishing-guides,PAGE_LOAD_FAILED,5,5,PAGE_LOAD_FAILED,PAGE_LOAD_FAILED
61,Dream Drift Flies - Fly Shop / Convenience Store and Motel,NO_CATEGORY_FOUND,+17205303771,info@dreamdriftflies.com,true,https://www.dreamdriftflies.com/,true,3.6,14,false,"Facebook,Instagram"
62,Bozeman Flyworks,Fishing store,+14062198692,ERROR_CHECKING_EMAIL,true,https://bozemanflyworks.com/,true,3,2,false,"Facebook,Instagram"
63,Jackson Cardinal Flies,Sporting goods store,+18006390913,NO_EMAIL_FOUND,true,http://www.jacksoncardinal.com/,false,5,3,false,
64,Bighorn Fly & Tackle Shop,NO_CATEGORY_FOUND,+18886651321,BLOCKED_OR_FORBIDDEN (HTTP 403),true,https://bighornfly.com/,BLOCKED_OR_FORBIDDEN (HTTP 403),4.8,21,BLOCKED_OR_FORBIDDEN (HTTP 403),BLOCKED_OR_FORBIDDEN (HTTP 403)
65,Flatline Outfitters,Fishing store,+14066845638,kingsflatline@yahoo.com,true,http://www.flatlineoutfitters.com/,true,5,3,false,
66,Doctor Slick Instruments,Fishing store,+14063888109,NO_WEBSITE,false,NO_WEBSITE,NO_WEBSITE,5,10,NO_WEBSITE,NO_WEBSITE
67,Fly Fish Food Jimmy's,Fishing store,+12085247160,ERROR_CHECKING_EMAIL,true,http://www.flyfishfood.com/,true,4.7,135,true,"Facebook,Instagram,X (Twitter),YouTube"
68,Anderson & Platt Outfitters,Fishing store,+14066832692,aandpoutfitters@gmail.com,true,https://anderson-platt-flyfishing.com/,true,4.8,95,false,"Facebook,Instagram"
69,The Fly Rod Company LLC,Fishing store,+12085287997,john@theflyrodcompany.com,true,http://www.theflyrodcompany.com/,true,5,6,false,
70,TroutChasers Lodge & Fly Fishing Outfitters,NO_CATEGORY_FOUND,+14067639049,fish@montanatroutchasers.com?,true,https://www.montanatroutchasers.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,false,5,14,false,"Facebook,Instagram"
71,Snake River Fly,Fishing store,+12089043900,ERROR_CHECKING_EMAIL,true,http://snakeriverfly.com/,true,4.9,108,true,"Facebook,Instagram,YouTube"
72,The StoneFly,Fishing store,+14064940707,ERROR_CHECKING_EMAIL,true,https://www.thestonefly.com/,true,4.9,84,true,"Facebook,Instagram,X (Twitter),YouTube"
73,Snake River Angler and Scenic Float Trips,Fishing store,+13077333699,fish@snakeriverangler.com,true,http://www.snakeriverangler.com/,true,4.5,83,true,"Facebook,Instagram"
74,Frontier Anglers Fly Shop,Fishing store,+14066835276,info@frontieranglers.com,true,http://www.frontieranglers.com/,true,4.7,51,true,"Facebook,Instagram"
75,East Slope Outdoors,Ski shop,+14069954369,ERROR_CHECKING_EMAIL,true,http://www.eastslopeoutdoors.com/,false,4.8,185,false,"Facebook,Instagram"
76,East Rosebud Fly & Tackle - Billings Montana,Fishing store,+14068399397,Info@eastrosebudflyandtackle.com,true,http://eastrosebudflyandtackle.com/,true,4.9,155,false,
77,Yellowstone Fly Goods Wholesale Distributor,Fishing store,+14062560799,PAGE_LOAD_FAILED,true,http://www.yellowstoneflygoods.com/,PAGE_LOAD_FAILED,5,2,PAGE_LOAD_FAILED,PAGE_LOAD_FAILED
78,Fly Fishing Only Adventures,Fishing charter,+14064463819,user@domain.com,true,http://www.flyfishingonlyadventures.com/,false,5,4,false,
79,Bighorn Trout Shop & Lodge,Fishing camp,+14066662375,ERROR_CHECKING_EMAIL,true,http://www.bighorntroutshop.com/,true,4.8,51,false,Facebook
80,Crayster,Fishing store,+12085573468,NO_EMAIL_FOUND,true,http://www.procrayster.com/,true,4.9,72,false,"Facebook,Instagram,YouTube"
81,Backcountry Angler,NO_CATEGORY_FOUND,+14066833462,backcountry@backcountryangler.com,true,http://www.backcountryangler.com/,true,4.8,32,false,"Facebook,Instagram"
82,Montana Angler,Fishing charter,+14065229854,ERROR_CHECKING_EMAIL,true,http://www.montanaangler.com/,false,4.9,379,true,Instagram
83,Montana Fish Man Outfitting,Fishing charter,+14065701438,406-570-1438brian@montanafishman.comMontana,true,http://www.montanafishman.com/,false,5,28,true,"Facebook,Instagram,X (Twitter)"
84,Snake River Angler,Fishing charter,+13077333699,fish@snakeriverangler.com,true,https://snakeriverangler.com/,true,4.6,12,true,"Facebook,Instagram"
85,Owl Creek Flies,Fishing charter,+13079210475,307-921-0475bighorndrifters@gmail.com,true,http://bighornriverfishingreport.blogspot.com/,false,4.2,9,false,
86,Thermopolis Fly Shop Big Horn River Guide Service Wyoming,Fishing store,+13078643499,thermopolisflyshop@gmail.com?subject=Question,true,http://www.thermopolisflyshop.com/,true,4.5,11,false,"Facebook,Instagram"
87,House of Hackle/Jimsflyco,Fishing store,+19864974433,PAGE_LOAD_FAILED,true,https://www.jimsflyco.com/,PAGE_LOAD_FAILED,4.1,8,PAGE_LOAD_FAILED,PAGE_LOAD_FAILED
88,Grizzly Peak Outdoors,Outdoor sports store,+14064450751,info@redlodgemountain.com,true,https://www.redlodgemountain.com/shopgrizzlypeak/,true,4.2,15,false,"Facebook,Instagram,X (Twitter),YouTube"
89,Skwala Fishing,Outdoor clothing and equipment shop,+18335231500,customerservice@skwalafishing.com,true,http://www.skwalafishing.com/,true,4.7,12,false,"Facebook,Instagram,YouTube"
90,Dave McKee Fly Fishing,Fishing charter,+14065798116,dave@davemckeeflyfishing.com,true,http://davemckeeflyfishing.com/,true,5,2,false,
91,Fly Shop of the Bighorns,Fishing store,+13076725866,flyshop@anglingdestinations.com,true,http://sheridanflyfishing.com/,true,4.7,75,false,"Facebook,Instagram"
92,FlyBanjo,Fishing store,+16179396276,ERROR_CHECKING_EMAIL,true,https://flybanjo.com/,true,3,3,false,Instagram
93,Troutana Outfitters,Fishing store,+14062239641,NO_WEBSITE,false,NO_WEBSITE,NO_WEBSITE,4.8,4,NO_WEBSITE,NO_WEBSITE
94,Teton Troutfitters,Fishing charter,+13076999659,ERROR_CHECKING_EMAIL,true,https://www.tetontroutfitters.com/,true,5,103,false,"Facebook,Instagram,WhatsApp"
95,FishTales Outfitting LLC,Fishing charter,+14064512074,info@mtfishtales.com,true,http://www.mtfishtales.com/,false,5,20,false,"Facebook,Instagram,LinkedIn,X (Twitter),YouTube"
96,Rich's Tackle,Bait shop,+14062854540,NO_WEBSITE,false,NO_WEBSITE,NO_WEBSITE,5,19,NO_WEBSITE,NO_WEBSITE
97,Bighorn Angler,Fishing store,+18669793231,info@bighornangler.com,true,https://bighornangler.com/,true,4.8,90,true,"Facebook,Instagram,YouTube"
98,Snake River Bait Co,Bait shop,+12085291845,NO_WEBSITE,false,NO_WEBSITE,NO_WEBSITE,4.9,16,NO_WEBSITE,NO_WEBSITE
99,Stanley Fly Shop,Fishing store,+12087217151,NO_EMAIL_FOUND,true,https://www.stanleyflyshop.com/,true,4.8,30,false,Instagram
100,Sweetgrass Rods,Fishing store,+14067825552,Sweetgrassrods@gmail.com,true,http://www.sweetgrassrods.com/,false,4.5,6,false,Facebook
101,"Al Anderson, Fly Fishing Outfitter #173",Fishing charter,NO_PHONE_NUMBER_FOUND,NO_WEBSITE,false,NO_WEBSITE,NO_WEBSITE,5,5,NO_WEBSITE,NO_WEBSITE
102,Jackson Hole Fly Fishing School,Fishing charter,+13076993440,info@jhflyfishingschool.com,true,http://www.jhflyfishingschool.com/,true,5,38,false,"Facebook,Instagram,YouTube"
103,Teton Valley Lodge,Lodge,+12083542386,208-354-2386flyfish@tetonvalleylodge.comVisit,true,http://tetonvalleylodge.com/,true,4.9,75,false,"Facebook,Instagram,YouTube"
104,American Fly Fishing Trade Association,Non-profit organization,+14066307069,info@affta.org,true,https://www.affta.org/,false,5,5,false,"Facebook,Instagram,LinkedIn"
105,Blue Ribbon Nets,Clothing store,+14065866387,info@blueribbonnets.net,true,https://blueribbonnets.net/,true,5,6,false,
106,Anglers All,Fishing store,+13037941104,ERROR_CHECKING_EMAIL,true,https://www.anglersall.com/,true,4.9,268,false,"Facebook,Instagram,YouTube"
107,Montana Custom Cane,Fishing store,+14065818606,NO_WEBSITE,false,NO_WEBSITE,NO_WEBSITE,4,4,NO_WEBSITE,NO_WEBSITE
108,Rivers Edge Benches,Fishing store,+14065708906,ERROR_CHECKING_EMAIL,true,http://riversedgebenches.com/,false,4.4,4,false,
109,"Montana Guided Fly Fishing, LLC.",Fishing charter,+14065793871,NO_EMAIL_FOUND,true,http://www.montanaguidedflyfishing.com/,false,5,62,false,"Facebook,Instagram"
110,Ed's Fly Shop,Fishing store,+19709649991,ERROR_CHECKING_EMAIL,true,https://edsflyshop.com/,true,5,172,true,"Facebook,Instagram,TikTok,YouTube"
111,fly fishing accessories,Fishing store,+12085841075,NO_EMAIL_FOUND,true,https://nirvanaonthefly.com/index.php/contact-us/,false,4.9,4,false,
112,The Lodge At Palisades Creek,NO_CATEGORY_FOUND,+12084832222,PAGE_LOAD_FAILED,true,http://www.tlapc.com/,PAGE_LOAD_FAILED,4.8,68,PAGE_LOAD_FAILED,PAGE_LOAD_FAILED
113,Stonefly Studio,Outdoor sports store,+14066566326,ss@stoneflystudio.com,true,http://www.stoneflystudio.com/,true,5,115,false,"Facebook,Instagram,LinkedIn,X (Twitter)"
114,Bozeman Fishing Outfitters,Fishing charter,+14064394545,bfomontana@gmail.com,true,https://bozemanflyfishing.com/,false,5,5,true,Instagram
115,Sportsman's Warehouse,Outdoor sports store,+14065860100,mailto:203-storemanager@sportsmans.com?subject=Store Inquiry,true,https://stores.sportsmans.com/sportsmans-warehouse/us/mt/bozeman/2214-tschache-lane?utm_source=google&utm_medium=organic&utm_campaign=GMB&y_source=1_OTg4MDE3My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,true,4.1,914,true,"Facebook,Instagram,X (Twitter),YouTube"
116,Stonefly Inn & Flyshop,NO_CATEGORY_FOUND,+14066845648,holly@stoneflyoutfitters.com,true,http://www.stoneflyoutfitters.com/,true,5,31,false,"Facebook,Instagram,X (Twitter)"
117,Wind River Canyon Whitewater & Fly Fishing,Raft trip outfitter,+13078649343,trips@windrivercanyon.com,true,http://www.windrivercanyon.com/,true,4.6,202,false,"Facebook,Instagram"
118,Ray’s Custom Rods,Fishing store,+13074315718,NO_WEBSITE,false,NO_WEBSITE,NO_WEBSITE,5,2,NO_WEBSITE,NO_WEBSITE
119,Guide Shop Clearwater Drifters,Fishing store,+12084763531,guideshop@hotmail.com,true,https://www.theguideshop.com/,true,4.7,29,false,Facebook
120,Rock Creek Fisherman's Mercantile & Motel,NO_CATEGORY_FOUND,+14068256440,PAGE_LOAD_FAILED,true,http://www.rcmerc.com/,PAGE_LOAD_FAILED,4.7,112,PAGE_LOAD_FAILED,PAGE_LOAD_FAILED
